State FIPS Code,Geographic Area,Area (Square Miles)
0,United States,"3,531,932"
1,Alabama,"50,645"
2,Alaska,"570,641"
4,Arizona,"113,594"
5,Arkansas,"52,035"
6,California,"155,779"
8,Colorado,"103,642"
9,Connecticut,"4,842"
10,Delaware,"1,949"
11,District of Columbia,61
12,Florida,"53,625"
13,Georgia,"57,514"
15,Hawaii,"6,423"
16,Idaho,"82,644"
17,Illinois,"55,519"
18,Indiana,"35,826"
19,Iowa,"55,857"
20,Kansas,"81,759"
21,Kentucky,"39,486"
22,Louisiana,"43,204"
23,Maine,"30,843"
24,Maryland,"9,707"
25,Massachusetts,"7,800"
26,Michigan,"56,539"
27,Minnesota,"79,627"
28,Mississippi,"46,923"
29,Missouri,"68,742"
30,Montana,"145,546"
31,Nebraska,"76,824"
32,Nevada,"109,781"
33,New Hampshire,"8,953"
34,New Jersey,"7,354"
35,New Mexico,"121,298"
36,New York,"47,126"
37,North Carolina,"48,618"
38,North Dakota,"69,001"
39,Ohio,"40,861"
40,Oklahoma,"68,595"
41,Oregon,"95,988"
42,Pennsylvania,"44,743"
44,Rhode Island,"1,034"
45,South Carolina,"30,061"
46,South Dakota,"75,811"
47,Tennessee,"41,235"
48,Texas,"261,232"
49,Utah,"82,194"
50,Vermont,"9,217"
51,Virginia,"39,490"
53,Washington,"66,456"
54,West Virginia,"24,038"
55,Wisconsin,"54,158"
56,Wyoming,"97,093"
72,Puerto Rico,"3,424"
