table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,
"Table 3. Cumulative Estimates of Resident Population Change for the United States, States, Counties, Puerto Rico, and Puerto Rico Municipios: April 1, 2010 to July 1, 2011",,,,,,,,,,,,,,
State FIPS Code,..Geographic Area,"April 1, 2010 Estimates Base",Population Estimates (as of July 1),,"Change, April 1, 2010 to July 1, 2011",,"Change, July 1, 2010 to July 1, 2011",,"July 1, 2011",,,,,
,,,,,,,,,,,,,,
,,,2010,2011,Number,Percent,Number,Percent,Population Density,Area (Square Miles),,,,
00000,United States,"308,745,538","309,330,219","311,591,917","2,846,379",0.9,"2,261,698",0.7,88.2,"3,531,932",,,,
01000,.Alabama,"4,779,735","4,785,401","4,802,740","23,005",0.5,"17,339",0.4,94.8,"50,645",,,,
01001,..Autauga County,"54,571","54,637","55,267",696,1.3,630,1.2,93.0,594,,,,
01003,..Baldwin County,"182,265","183,259","186,717","4,452",2.4,"3,458",1.9,117.4,"1,590",,,,
01005,..Barbour County,"27,457","27,390","27,119",-338,-1.2,-271,-1.0,30.6,885,,,,
01007,..Bibb County,"22,919","22,880","22,766",-153,-0.7,-114,-0.5,36.6,623,,,,
01009,..Blount County,"57,322","57,387","57,677",355,0.6,290,0.5,89.5,645,,,,
01011,..Bullock County,"10,915","10,893","10,542",-373,-3.4,-351,-3.2,16.9,623,,,,
01013,..Butler County,"20,947","20,941","20,650",-297,-1.4,-291,-1.4,26.6,777,,,,
01015,..Calhoun County,"118,572","118,426","117,797",-775,-0.7,-629,-0.5,194.4,606,,,,
01017,..Chambers County,"34,215","34,143","33,939",-276,-0.8,-204,-0.6,56.9,597,,,,
01019,..Cherokee County,"25,989","25,997","26,057",68,0.3,60,0.2,47.1,554,,,,
01021,..Chilton County,"43,642","43,722","43,895",253,0.6,173,0.4,63.4,693,,,,
01023,..Choctaw County,"13,858","13,851","13,609",-249,-1.8,-242,-1.7,14.9,914,,,,
01025,..Clarke County,"25,840","25,776","25,695",-145,-0.6,-81,-0.3,20.7,"1,238",,,,
01027,..Clay County,"13,932","13,935","13,862",-70,-0.5,-73,-0.5,23.0,604,,,,
01029,..Cleburne County,"14,972","14,978","14,835",-137,-0.9,-143,-1.0,26.5,560,,,,
01031,..Coffee County,"49,948","50,167","50,526",578,1.2,359,0.7,74.4,679,,,,
01033,..Colbert County,"54,428","54,491","54,512",84,0.2,21,0.0,92.0,593,,,,
01035,..Conecuh County,"13,228","13,222","13,105",-123,-0.9,-117,-0.9,15.4,850,,,,
01037,..Coosa County,"11,537","11,458","10,713",-824,-7.1,-745,-6.5,16.5,651,,,,
01039,..Covington County,"37,765","37,800","38,058",293,0.8,258,0.7,36.9,"1,030",,,,
01041,..Crenshaw County,"13,906","13,878","13,911",5,0.0,33,0.2,22.8,609,,,,
01043,..Cullman County,"80,406","80,496","80,536",130,0.2,40,0.0,109.6,735,,,,
01045,..Dale County,"50,251","50,343","50,044",-207,-0.4,-299,-0.6,89.2,561,,,,
01047,..Dallas County,"43,820","43,792","43,332",-488,-1.1,-460,-1.1,44.3,979,,,,
01049,..DeKalb County,"71,109","71,122","71,375",266,0.4,253,0.4,91.8,777,,,,
01051,..Elmore County,"79,303","79,590","80,162",859,1.1,572,0.7,129.6,618,,,,
01053,..Escambia County,"38,319","38,295","38,095",-224,-0.6,-200,-0.5,40.3,945,,,,
01055,..Etowah County,"104,430","104,440","104,303",-127,-0.1,-137,-0.1,195.0,535,,,,
01057,..Fayette County,"17,241","17,250","17,182",-59,-0.3,-68,-0.4,27.4,628,,,,
01059,..Franklin County,"31,704","31,723","31,884",180,0.6,161,0.5,50.3,634,,,,
01061,..Geneva County,"26,790","26,828","26,781",-9,0.0,-47,-0.2,46.6,574,,,,
01063,..Greene County,"9,045","9,005","8,921",-124,-1.4,-84,-0.9,13.8,647,,,,
01065,..Hale County,"15,760","15,736","15,421",-339,-2.2,-315,-2.0,23.9,644,,,,
01067,..Henry County,"17,302","17,308","17,412",110,0.6,104,0.6,31.0,562,,,,
01069,..Houston County,"101,547","101,769","102,369",822,0.8,600,0.6,176.6,580,,,,
01071,..Jackson County,"53,226","53,175","53,291",65,0.1,116,0.2,49.4,"1,078",,,,
01073,..Jefferson County,"658,466","658,386","658,931",465,0.1,545,0.1,592.9,"1,111",,,,
01075,..Lamar County,"14,564","14,520","14,311",-253,-1.7,-209,-1.4,23.7,605,,,,
01077,..Lauderdale County,"92,709","92,727","92,781",72,0.1,54,0.1,139.0,668,,,,
01079,..Lawrence County,"34,339","34,328","34,117",-222,-0.6,-211,-0.6,49.4,691,,,,
01081,..Lee County,"140,247","140,784","143,468","3,221",2.3,2684,1.9,236.1,608,,,,
01083,..Limestone County,"82,782","83,239","85,369","2,587",3.1,2130,2.6,152.5,560,,,,
01085,..Lowndes County,"11,299","11,270","11,147",-152,-1.3,-123,-1.1,15.6,716,,,,
01087,..Macon County,"21,452","21,535","21,182",-270,-1.3,-353,-1.6,34.8,609,,,,
01089,..Madison County,"334,811","336,141","340,111","5,300",1.6,3970,1.2,424.3,802,,,,
01091,..Marengo County,"21,029","20,980","20,692",-337,-1.6,-288,-1.4,21.2,977,,,,
01093,..Marion County,"30,776","30,781","30,663",-113,-0.4,-118,-0.4,41.3,742,,,,
01095,..Marshall County,"93,019","93,203","94,166","1,147",1.2,963,1.0,166.4,566,,,,
01097,..Mobile County,"412,990","413,116","412,577",-413,-0.1,-539,-0.1,335.6,"1,229",,,,
01099,..Monroe County,"23,070","22,987","22,760",-310,-1.3,-227,-1.0,22.2,"1,026",,,,
01101,..Montgomery County,"229,363","229,706","232,032","2,669",1.2,2326,1.0,295.9,784,,,,
01103,..Morgan County,"119,490","119,606","119,953",463,0.4,347,0.3,207.1,579,,,,
01105,..Perry County,"10,586","10,542","10,373",-213,-2.0,-169,-1.6,14.4,720,,,,
01107,..Pickens County,"19,746","19,723","19,349",-397,-2.0,-374,-1.9,22.0,881,,,,
01109,..Pike County,"32,899","32,970","32,915",16,0.0,-55,-0.2,49.0,672,,,,
01111,..Randolph County,"22,913","22,929","22,787",-126,-0.5,-142,-0.6,39.3,581,,,,
01113,..Russell County,"52,947","53,207","54,572","1,625",3.1,1365,2.6,85.1,641,,,,
01115,..St. Clair County,"83,598","83,835","84,398",800,1.0,563,0.7,133.6,632,,,,
01117,..Shelby County,"195,080","195,858","197,936","2,856",1.5,2078,1.1,252.2,785,,,,
01119,..Sumter County,"13,763","13,758","13,478",-285,-2.1,-280,-2.0,14.9,904,,,,
01121,..Talladega County,"82,291","82,027","81,664",-627,-0.8,-363,-0.4,110.8,737,,,,
01123,..Tallapoosa County,"41,618","41,534","41,623",5,0.0,89,0.2,58.1,717,,,,
01125,..Tuscaloosa County,"194,653","194,998","197,211","2,558",1.3,2213,1.1,149.2,"1,322",,,,
01127,..Walker County,"67,023","67,000","66,661",-362,-0.5,-339,-0.5,84.3,791,,,,
01129,..Washington County,"17,583","17,610","17,344",-239,-1.4,-266,-1.5,16.1,"1,080",,,,
01131,..Wilcox County,"11,664","11,603","11,482",-182,-1.6,-121,-1.0,12.9,888,,,,
01133,..Winston County,"24,484","24,395","24,327",-157,-0.6,-68,-0.3,39.7,613,,,,
02000,.Alaska,"710,231","714,146","722,718","12,487",1.8,8572,1.2,1.3,"570,641",,,,
02013,..Aleutians East Borough,"3,141","3,155","3,172",31,1.0,17,0.5,0.5,"6,982",,,,
02016,..Aleutians West Census Area,"5,561","5,545","5,504",-57,-1.0,-41,-0.7,1.3,"4,390",,,,
02020,..Anchorage Municipality,"291,826","293,356","295,570","3,744",1.3,2214,0.8,173.4,"1,705",,,,
02050,..Bethel Census Area,"17,013","17,105","17,416",403,2.4,311,1.8,0.4,"40,570",,,,
02060,..Bristol Bay Borough,997,"1,003","1,030",33,3.3,27,2.7,2.0,504,,,,
02068,..Denali Borough,"1,826","1,835","1,855",29,1.6,20,1.1,0.1,"12,751",,,,
02070,..Dillingham Census Area,"4,847","4,874","4,975",128,2.6,101,2.1,0.3,"18,569",,,,
