County,FIPS code,County seat,Established,Origin,Etymology,Area Miles
Aitkin County,1,Aitkin,1857,"Pine County, Ramsey County","William Alexander Aitken (1785-1851), early fur trader with Ojibwe Indians","1,819.30"
Anoka County,3,Anoka,1857,Ramsey County,"A Dakota word meaning ""both sides""",423.61
Becker County,5,Detroit Lakes,1858,"Cass County,Pembina County","George Loomis Becker (1829-1904), former state senator and third mayor of Saint Paul (1856-1857)","1,310.42"
Beltrami County,7,Bemidji,1866,"Unorganized Territory, Itasca County, Pembina County, Polk County","Giacomo Beltrami, Italian explorer who explored the northern reaches of Mississippi River in 1823.","2,505.27"
Benton County,9,Foley,1849,"One of nine original counties; formed from residual St. Croix County, Wisconsin Territory.","Thomas Hart Benton (1782-1858), former United States Senator from Missouri (1821-1851)",408.28
Big Stone County,11,Ortonville,1862,Pierce County,"Big Stone Lake, a lake located in the county",496.95
Blue Earth County,13,Mankato,1853,"Unorganized Territory, Dakota County","Blue Earth River, a river that flows through Minnesota",752.36
Brown County,15,New Ulm,1855,Blue Earth County,"Joseph Renshaw Brown (1805-1870), member of Minnesota territorial legislature (1854-55) and prominent pioneer",610.86
Carlton County,17,Carlton,1857,"Pine County, St. Louis County","Rueben B. Carlton (1812-1863), early settler and state senator (1857-1858)",860.33
Carver County,19,Chaska,1855,"Hennepin County,Sibley County","Jonathan Carver (1710-1790), early explorer and cartographer of the Mississippi river.",357.04
Cass County,21,Walker,1851,"Dakota County,Pembina County, Mankahto County, Wahnata County","Lewis Cass (1782-1866), senator from Michigan(1845-1857) and United States Secretary of State(1831-1836)","2,017.60"
Chippewa County,23,Montevideo,1870,"Pierce County, Davis County","Chippewa River, a river that flows through Minnesota",582.8
Chisago County,25,Center City,1851,"Washington County,Ramsey County","Chisago Lake, a lake located in the county",417.63
Clay County,27,Moorhead,1862,Pembina County,"Henry Clay (1777-1852), Kentucky statesman and ninth secretary of state of the United States(1825-1829)","1,045.24"
Clearwater County,29,Bagley,1902,Beltrami County,"Clearwater River and lake, both features located in the state",994.71
Cook County,31,Grand Marais,1874,Lake County,"Named for Civil War veteran Major Michael Cook of Faribault, who was also a territorial and state senator 1857-62","1,450.60"
Cottonwood County,33,Windom,1857,Brown County,Cottonwood River,639.99
Crow Wing County,35,Brainerd,1857,Ramsey County,Crow Wing River,996.57
